"vintage","method","statistic","point","lower","upper"
"original","hp1600",47,0.11261659354591,-0.336332744861998,0.325618565761359
"original","hp1600",48,0.459243684971563,0.218425741324663,0.623776997080922
"current","growth",1,0.804153638966679,0.240278137760125,0.894274233539994
"current","growth",2,0.768485914262126,0.18615995149277,0.869214227601113
"current","growth",3,0.0356677247045531,-0.0209153041559802,0.260767057044242
"current","growth",4,0.202609387657302,-0.112678477415373,0.528694538942082
"current","growth",5,-0.0107526429813112,-0.371230411726813,0.393568620933243
"current","growth",6,-0.00958954487979646,-0.222649101427718,0.288970593777816
"current","growth",7,0.0295510093478761,-0.241607551034233,0.36468918453955
"current","growth",8,0.0572248927723434,-0.221587980619622,0.271240544722474
"current","growth",9,-0.00757471997560866,-0.19752182391464,0.16978038389673
"current","growth",10,0.0358935174212272,-0.252999119905628,0.164526681367923
"current","growth",11,-0.0842743176329691,-0.226366357400414,0.0502192200499034
"current","growth",12,-0.0481609973267357,-0.181811835816062,0.146273454774499
"current","growth",13,0.0526414473393968,-0.144380846897417,0.216689685966887
"current","growth",14,-0.0402905797817193,-0.213076329266409,0.30556841491803
"current","growth",15,-0.0286152995272522,-0.253755023038904,0.223674135153119
"current","growth",16,0.0702743402542479,-0.106155445190341,0.528508277552189
"current","growth",17,0.108841013978138,0.0368005601288866,0.45499034980831
"current","growth",18,0.0535313860348906,-0.0151448854890423,0.398442522278646
"current","growth",19,0.242312427657877,0.0663324141555046,0.548039258251304
"current","growth",20,0.105055524836907,-0.122661508282971,0.288673513114355
"current","growth",21,-0.0227369405179543,-0.118905625962858,0.334334634758362
"current","growth",22,-0.023287838065486,-0.245930682835871,0.358218574545559
"current","growth",23,0.0221467482707793,-0.254463470053662,0.192631759434519
"current","growth",24,0.00904293175324933,-0.0414437504135466,0.227881325229151
"current","growth",25,0.0804242908849281,-0.0436044318165893,0.328188511538858
"current","growth",26,0.0605903206342786,-0.0371302769006226,0.443644130649454
"current","growth",27,0.0069237905369266,-0.0469366853041634,0.329256269325428
"current","growth",28,-0.08690068900668,-0.230851543936064,0.494615221541685
"current","growth",29,-0.0506153060420956,-0.218609537195423,0.238798093943777
"current","growth",30,-0.0484331524908874,-0.13570135253944,0.398143432492139
"current","growth",31,-0.0376843140455415,-0.108337486223868,0.527415570048556
"current","growth",32,0.0805435106195036,-0.0431285262521521,0.444219646556936
"current","growth",33,0.0171764537292277,-0.0947390122546852,0.509668649336682
"current","growth",34,-0.00236732531287864,-0.115205941641289,0.557192560396734
