"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1970-Q3","Q3-1970","AUD","Australian Dollar","6","millions",,,38796,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1970-Q4","Q4-1970","AUD","Australian Dollar","6","millions",,,39456,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1971-Q1","Q1-1971","AUD","Australian Dollar","6","millions",,,40956,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1971-Q2","Q2-1971","AUD","Australian Dollar","6","millions",,,41880,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1971-Q3","Q3-1971","AUD","Australian Dollar","6","millions",,,43528,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1971-Q4","Q4-1971","AUD","Australian Dollar","6","millions",,,43592,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1972-Q1","Q1-1972","AUD","Australian Dollar","6","millions",,,44356,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1972-Q2","Q2-1972","AUD","Australian Dollar","6","millions",,,46068,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1972-Q3","Q3-1972","AUD","Australian Dollar","6","millions",,,46728,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1972-Q4","Q4-1972","AUD","Australian Dollar","6","millions",,,48292,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1973-Q1","Q1-1973","AUD","Australian Dollar","6","millions",,,50680,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1973-Q2","Q2-1973","AUD","Australian Dollar","6","millions",,,53048,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1973-Q3","Q3-1973","AUD","Australian Dollar","6","millions",,,56044,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1973-Q4","Q4-1973","AUD","Australian Dollar","6","millions",,,59760,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1974-Q1","Q1-1974","AUD","Australian Dollar","6","millions",,,61856,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1974-Q2","Q2-1974","AUD","Australian Dollar","6","millions",,,62988,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1974-Q3","Q3-1974","AUD","Australian Dollar","6","millions",,,66840,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1974-Q4","Q4-1974","AUD","Australian Dollar","6","millions",,,70452,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1975-Q1","Q1-1975","AUD","Australian Dollar","6","millions",,,71872,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1975-Q2","Q2-1975","AUD","Australian Dollar","6","millions",,,75208,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1975-Q3","Q3-1975","AUD","Australian Dollar","6","millions",,,77432,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1975-Q4","Q4-1975","AUD","Australian Dollar","6","millions",,,81168,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1976-Q1","Q1-1976","AUD","Australian Dollar","6","millions",,,85016,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1976-Q2","Q2-1976","AUD","Australian Dollar","6","millions",,,88788,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1976-Q3","Q3-1976","AUD","Australian Dollar","6","millions",,,91848,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1976-Q4","Q4-1976","AUD","Australian Dollar","6","millions",,,94812,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1977-Q1","Q1-1977","AUD","Australian Dollar","6","millions",,,96948,,
