"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1968-Q3","Q3-1968","USD","US Dollar","6","millions","2010","2010",36664.74635198,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1968-Q4","Q4-1968","USD","US Dollar","6","millions","2010","2010",37465.9953040703,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1969-Q1","Q1-1969","USD","US Dollar","6","millions","2010","2010",37610.5243872005,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1969-Q2","Q2-1969","USD","US Dollar","6","millions","2010","2010",38429.5225249383,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1969-Q3","Q3-1969","USD","US Dollar","6","millions","2010","2010",39633.9315510234,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1969-Q4","Q4-1969","USD","US Dollar","6","millions","2010","2010",40881.4457422526,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1970-Q1","Q1-1970","USD","US Dollar","6","millions","2010","2010",39907.7761295859,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1970-Q2","Q2-1970","USD","US Dollar","6","millions","2010","2010",41109.6495577214,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1970-Q3","Q3-1970","USD","US Dollar","6","millions","2010","2010",42194.8854801728,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1970-Q4","Q4-1970","USD","US Dollar","6","millions","2010","2010",42823.7137716867,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1971-Q1","Q1-1971","USD","US Dollar","6","millions","2010","2010",42742.5746372978,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1971-Q2","Q2-1971","USD","US Dollar","6","millions","2010","2010",42164.458304777,,
